window_id,platform,traj_id,win_idx,lb
0,car,car_train_0000,0,
1,car,car_train_0000,1,
2,car,car_train_0000,2,
3,car,car_train_0000,3,
4,car,car_train_0000,4,
5,car,car_train_0000,5,
6,car,car_train_0000,6,
7,car,car_train_0000,7,
8,car,car_train_0000,8,
9,car,car_train_0000,9,
10,car,car_train_0000,10,
11,car,car_train_0000,11,
12,car,car_train_0000,12,
13,car,car_train_0000,13,
14,car,car_train_0000,14,
15,car,car_train_0000,15,
16,car,car_train_0000,16,
17,car,car_train_0000,17,
18,car,car_train_0000,18,
19,car,car_train_0000,19,
20,car,car_train_0000,20,
21,car,car_train_0000,21,
22,car,car_train_0000,22,
23,car,car_train_0000,23,
24,car,car_train_0000,24,
25,car,car_train_0000,25,
26,car,car_train_0000,26,
27,car,car_train_0000,27,
28,car,car_train_0000,28,
29,car,car_train_0000,29,
30,car,car_train_0000,30,
31,car,car_train_0000,31,
32,car,car_train_0000,32,
33,car,car_train_0000,33,
34,car,car_train_0000,34,
35,car,car_train_0000,35,
36,car,car_train_0000,36,
37,car,car_train_0000,37,
38,car,car_train_0000,38,
39,car,car_train_0000,39,
40,car,car_train_0000,40,
41,car,car_train_0000,41,
42,car,car_train_0000,42,
43,car,car_train_0000,43,
44,car,car_train_0000,44,
45,car,car_train_0000,45,
46,car,car_train_0000,46,
47,car,car_train_0000,47,
48,car,car_train_0000,48,
49,car,car_train_0000,49,
50,car,car_train_0000,50,
51,car,car_train_0000,51,
52,car,car_train_0000,52,
53,car,car_train_0000,53,
54,car,car_train_0000,54,
55,car,car_train_0000,55,
56,car,car_train_0000,56,
57,car,car_train_0000,57,
58,car,car_train_0000,58,
59,car,car_train_0000,59,
60,car,car_train_0000,60,
61,car,car_train_0000,61,
62,car,car_train_0000,62,
63,car,car_train_0000,63,
64,car,car_train_0000,64,
65,car,car_train_0000,65,
66,car,car_train_0000,66,
67,car,car_train_0000,67,
68,car,car_train_0000,68,
69,car,car_train_0000,69,
70,car,car_train_0000,70,
71,car,car_train_0000,71,
