window_id,vx,vy,vz
0,0.27344611287117004,-0.008538338355720043,-0.005525923799723387
1,0.4600711166858673,0.006959674414247274,-0.0037365108728408813
2,0.4317876398563385,-0.005003037396818399,0.00020186853362247348
3,0.443156361579895,-0.028767431154847145,-0.014846857637166977
4,0.45766681432724,0.012937340885400772,-0.022303719073534012
5,0.4056859314441681,-0.016499249264597893,0.020453348755836487
6,0.2784697711467743,-0.04637185111641884,0.0013971793232485652
7,-0.032885994762182236,-0.20656658709049225,-0.0033227407839149237
8,0.3237743079662323,0.03290015831589699,-0.006388949230313301
9,0.7041081190109253,0.037052545696496964,-0.009570197202265263
10,-0.06022154167294502,0.13725684583187103,0.003456718986853957
11,0.13352809846401215,0.04772932454943657,-0.0015146242221817374
12,0.5175786018371582,-0.011731676757335663,-0.0012316307984292507
13,0.4373079240322113,0.00010553421452641487,-0.0038588768802583218
14,0.4148840010166168,0.0033115828409790993,-0.002041501458734274
15,-0.03186637535691261,0.19245344400405884,-0.0010486323153600097
16,0.24831834435462952,0.00978168472647667,0.0038877674378454685
17,0.18988069891929626,-0.12232347577810287,-0.004269305616617203
18,0.12583550810813904,-0.07697790116071701,0.003422530833631754
19,0.31647631525993347,-0.012670670635998249,-0.0016673796344548464
20,0.451254665851593,0.003834720468148589,-0.00013402337208390236
21,0.41843634843826294,0.006590185686945915,-0.003255571238696575
22,-0.055939413607120514,0.24229662120342255,-0.005263443570584059
23,-0.015945561230182648,0.2569267749786377,-0.0019214291824027896
24,0.017424896359443665,0.015830736607313156,0.0021252885926514864
25,0.03252677246928215,-0.21324019134044647,0.0028796640690416098
26,0.012413127347826958,0.23793219029903412,-0.010808117687702179
27,0.025324339047074318,-0.18121342360973358,0.0029242709279060364
28,0.010759149678051472,-0.011824582703411579,-0.0035452216397970915
29,0.0006739625823684037,0.20325863361358643,-0.0015904797473922372
30,0.040271684527397156,-0.20959089696407318,0.008644888177514076
31,0.1060522198677063,-0.0349169485270977,-0.003522467100992799
32,-0.003634474938735366,-4.121005622437224e-05,0.0026426168624311686
33,-0.02339940145611763,0.13835187256336212,-0.009605740197002888
34,-0.0025984439998865128,0.10496198385953903,0.0012120612664148211
35,0.03271609917283058,-0.16121631860733032,-0.00222805910743773
36,0.18828269839286804,0.07408417016267776,-0.007597367279231548
37,0.15369535982608795,-0.012704193592071533,0.009562812745571136
38,0.3771872818470001,-0.04543718323111534,0.00220328476279974
39,0.02630932629108429,-0.17254352569580078,-0.0063238018192350864
40,0.49015986919403076,0.03936297073960304,0.005270859692245722
41,-0.022501837462186813,-0.15682558715343475,0.006608016323298216
42,0.0822761058807373,0.06344518065452576,0.0017198881832882762
43,0.0320654958486557,-0.0945335328578949,0.0021520426962524652
44,0.47653087973594666,0.015997018665075302,-0.007318879943341017
45,0.18441914021968842,-0.06433369964361191,-0.001646637567318976
46,0.43634989857673645,0.022245872765779495,-0.024329645559191704
47,0.4350856840610504,0.00807864312082529,0.004457615781575441
48,0.42083480954170227,-0.008390811271965504,0.004625021480023861
49,0.40441200137138367,0.0028129355050623417,0.012306774966418743
50,0.4155922830104828,0.0005826937267556787,-0.022053103893995285
51,0.46896398067474365,0.008149875327944756,0.02102327160537243
52,0.956074059009552,-0.005138659384101629,-0.006183698773384094
53,0.8419989943504333,0.006392456125468016,0.0024675007443875074
54,0.8686946034431458,-0.01359986886382103,-0.01220585498958826
55,0.8059381246566772,-0.0020199723076075315,-0.03262384235858917
56,0.8075684309005737,-0.010086171329021454,0.004235812928527594
57,0.7599667310714722,-0.016331903636455536,-0.020865170285105705
58,0.10121029615402222,-0.20470884442329407,0.00937603134661913
59,-0.027597801759839058,-0.27233803272247314,0.002709765452891588
60,-0.010116525925695896,-0.2222217619419098,0.002776272362098098
61,-0.01571403071284294,-0.22593553364276886,0.005451138596981764
62,0.0006857408443465829,-0.20347392559051514,-0.012867691926658154
63,-0.0004513436579145491,-0.19835317134857178,0.011118466034531593
64,0.24714545905590057,-0.020962372422218323,-0.010460222139954567
65,0.36190977692604065,0.007007353473454714,0.015140855684876442
66,-0.24262183904647827,-0.06516225636005402,-0.008793219923973083
67,-0.46572571992874146,-0.001379978028126061,-0.002227304270491004
68,-0.44769251346588135,-0.000826217990834266,0.0017580080311745405
69,-0.4461497366428375,0.000822919886559248,-0.0019451603293418884
70,-0.4186161458492279,-0.0028253307100385427,0.013934817165136337
71,-0.4451296925544739,0.0020198733545839787,0.007197015918791294
72,-0.4243801236152649,0.0018980099121108651,-0.0019416043069213629
73,-0.45106953382492065,0.005128245800733566,-0.018222037702798843
74,-0.3072037994861603,-0.035076722502708435,0.00286692613735795
75,0.12350330501794815,-0.13497348129749298,3.853941962006502e-05
76,0.07630037516355515,-0.1327628195285797,0.012440375052392483
